UnitSetId,IsExchangeUnit,UniversityCountry,UniversityName,UniversityHref,UnitTitle,UnitCode,UnitHref,EquivalentUWAUnitLevel,IsEquivalent
307,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL2121,,1000,TRUE
307,TRUE,UK,Nottingham University,,Geotechnics 1,H21G11,,1000,TRUE
308,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL3150,,1000,TRUE
308,TRUE,UK,Nottingham University,,Construction Project Management,H22MOA,,1000,TRUE
309,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL2150,,1000,TRUE
309,TRUE,UK,Nottingham University,,Engineering Surveying 1,H21VII,,1000,TRUE
310,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL3112,,1000,TRUE
310,TRUE,UK,Nottingham University,,Concrete,H23SM3,,1000,TRUE
311,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3010,,1000,TRUE
311,TRUE,UK,Nottingham University,,Hydraulics I,H22H11,,1000,TRUE
311,TRUE,UK,Nottingham University,,Hydraulics 2,H22H12,,1000,TRUE
312,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL3111 ,,1000,TRUE
312,TRUE,UK,Nottingham University,,Steel Structures,H23S07,,1000,TRUE
313,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL3120,,1000,TRUE
313,TRUE,UK,Nottingham University,,Foundation,H23GGE,,1000,TRUE
314,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL4180,,1000,TRUE
314,TRUE,UK,Nottingham University,,Traffic Engineering,H24T01,,1000,TRUE
315,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,CIVL3140,,1000,TRUE
315,TRUE,UK,Nottingham University,,Finite Element Analysis in Strutural Mechanics,H24SFE,,1000,TRUE
316,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3003,,1000,TRUE
316,TRUE,UK,Nottingham University,,Fluid Mechanics,H81FLM,,1000,TRUE
317,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3006,,1000,TRUE
317,TRUE,UK,Nottingham University,,Engineering Thermodynamics,H81ETD,,1000,TRUE
318,TRUE,UK,Nottingham University,,Plant Design,H82PLD,,1000,TRUE
319,FALSE,Australia,University of Western Australia,https://www.uwa.edu.au/,,ENSC3007,,1000,TRUE
319,TRUE,UK,Nottingham University,,Heat,H81NMT,,1000,TRUE
